Product A Index,Product A,Product B Index,Product B,Similarity,CrossEncoder_Score
52,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,71,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,0.9999999403953552,3.0656850337982178
70,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,71,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,0.9999999403953552,3.0656850337982178
52,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,70,MEMBER'S MARK Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage 310mlx15,0.9999999403953552,3.0656850337982178
105,VITASOY Vitasoy - Vitasoy Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery) 250mlx6,119,VITASOY Vitasoy - Vitasoy Malted Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery) 250mlx6,0.9397834539413452,3.0305163860321045
138,ROBIFF Robiff - [Full Case] Robiff Oolong Tea 900ml x 12 900mlx12,365,ROBIFF Robiff - Robiff Oolong Tea_ Full Case (900ml x 12) 900mlx12,0.9010428190231324,3.0258285999298096
101,VITA Vita - Low Sugar Chrysanthemum Tea 250ml x 6 x 4 250mlx6,724,VITA Vita - Vita - Full Case Low Sugar Chrysanthemum Tea (250ml x 6) x 4 250mlx6,0.970931112766266,3.0113227367401123
1,VITA Vita - Low Sugar Chocolate Milk Beverage 250ml x 6 x 4 250mlx6,59,VITA Vita - Vita - Full Case low Sugar Chocolate Milk Beverage (250ml x 6 ) x 4 250mlx6,0.941228687763214,2.9913439750671387
78,"SANGARIA SANGARIA - 【Full Case 24 Btls】 Zero Sugar Rich Green Tea 500ml (Japanese Beverage, Parallel Import)BD2027/02/28 500mlx24",79,"SANGARIA SANGARIA - 【Full Case 24 Btls】 Zero Sugar Green Tea 500ml (Japanese Beverage, Parallel Import)BBD2027/02/28 500mlx24",0.9680785536766052,2.985656499862671
129,HIGHLAND SPRING Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 x2 5lx6,166,HIGHLAND SPRING Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 5lx6,1.0000001192092896,2.93638277053833
0,VITA Vita - Hi-Calcium Low Fat Milk Beverage 250ml x 6 x 4 250mlx6,46,VITA Vita - Vita - Full Case Hi-Calcium Low Fat Milk Beverage (250ml x 6 ) x 4 250mlx6,0.9588658213615416,2.8978888988494873
210,YOU C1000 You C1000 - You C1000 Vitamin Health Drink Lemon(Glass Bottle) - Full Case 140ml 140mlx30,790,YOU C1000 You C1000 - You C1000 Vitamin Health Drink Lemon(Glass Bottle) - Full Case 30x140ml 140mlx30,0.9999999403953552,2.8795902729034424
288,EVIAN evian - [Dealer's Goods of HK] [Full Case] 玻璃樽裝 France Evian Natural Mineral Water (330ml X 20) (冇氣) 330mlx20,688,EVIAN evian - [Dealer's Goods of HK] [Full Case] 玻璃樽裝 France Evian (有氣Sparkling) Natural Mineral Water (330ml X 20 330mlx20,0.93366140127182,2.8245718479156494
264,VOLVIC Volvic - Volvic Natural Mineral Water France 1.5L x 6  (Random Packing) 5lx6,516,VOLVIC Volvic - Volvic Natural Mineral Water France 1.5L x 6  (Random Packing) 5lx6,1.000000238418579,2.7927238941192627
139,ITO EN ITO EN - [Full Case] Ooicha Dark Green Tea 2L x 6 bottle expiry 2026/09 2lx6,244,ITO EN ITO EN - [Full Case] Ooicha Dark Green Tea 2L x 6 bottle expiry 2026/09 2lx6,1.0000014305114746,2.73012375831604
533,VITASOY Vitasoy - Vitasoy - Low Sugar Malted Soya Bean Milk 250ml (250ml x 6 ) x 4 250mlx6,932,VITASOY Vitasoy - Vitasoy - Full Case Low Sugar Soya Bean Milk 250ml (250ml x 6 ) x 4 250mlx6,0.9595950841903688,2.709343671798706
